epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
85,6336.31,0.06413,0.15718,0.74777,1.08979,0,0.83868,0.75929,0.78828,0.64403,0.84295,0.75575,0.78319,0.59421,0.07497,0.16777,0.86111,0.85279,0,0.0003368,0.0003368,0.0003368
86,6395.12,0.06421,0.15589,0.74545,1.09508,0,0.80276,0.77168,0.77875,0.63469,0.81596,0.75575,0.75784,0.5785,0.07752,0.16903,0.86762,0.87717,0,0.000317,0.000317,0.000317
87,6453.5,0.06356,0.15897,0.7443,1.09435,0,0.82051,0.75243,0.77426,0.62425,0.81511,0.7469,0.75169,0.57358,0.07823,0.17909,0.89372,0.88543,0,0.0002972,0.0002972,0.0002972
88,6511.53,0.06378,0.16083,0.7575,1.08723,0,0.825,0.76283,0.7796,0.63386,0.8298,0.76814,0.77926,0.58866,0.07711,0.16938,0.8705,0.86871,0,0.0002774,0.0002774,0.0002774
89,6569.28,0.06219,0.15239,0.75501,1.0867,0,0.85769,0.73602,0.77083,0.63437,0.83349,0.75306,0.75959,0.58269,0.07587,0.17223,0.86427,0.86885,0,0.0002576,0.0002576,0.0002576
90,6627,0.06381,0.15382,0.74946,1.0814,0,0.81352,0.76439,0.77773,0.6286,0.81947,0.7646,0.77,0.58846,0.07652,0.17069,0.8774,0.8738,0,0.0002378,0.0002378,0.0002378
91,6681.93,0.06595,0.15149,1.01068,1.13063,0,0.84555,0.75752,0.7765,0.63229,0.84565,0.74867,0.75516,0.5817,0.07614,0.17393,0.85787,0.87597,0,0.000218,0.000218,0.000218
92,6736.27,0.06518,0.14762,0.75449,1.13198,0,0.82006,0.79049,0.8092,0.66056,0.84301,0.75082,0.79215,0.60027,0.07382,0.17174,0.81395,0.85549,0,0.0001982,0.0001982,0.0001982
93,6790.71,0.0646,0.14747,0.75875,1.14057,0,0.87321,0.74353,0.78531,0.64123,0.87229,0.73628,0.77075,0.58143,0.07698,0.17304,0.84006,0.8661,0,0.0001784,0.0001784,0.0001784
94,6845.25,0.06363,0.15501,0.75549,1.12273,0,0.81286,0.79183,0.78889,0.65188,0.8352,0.76243,0.77648,0.59081,0.07549,0.17719,0.83142,0.85179,0,0.0001586,0.0001586,0.0001586
95,6901.41,0.06218,0.14417,0.72465,1.10825,0,0.8373,0.75599,0.77321,0.64362,0.83648,0.75398,0.76064,0.58478,0.07557,0.17727,0.84157,0.85389,0,0.0001388,0.0001388,0.0001388
96,6957.02,0.06087,0.13864,0.9405,1.09554,0,0.83882,0.7646,0.77249,0.64071,0.83225,0.7646,0.76312,0.58628,0.07571,0.17522,0.83791,0.85423,0,0.000119,0.000119,0.000119
97,7013.16,0.05995,0.14932,0.7324,1.10201,0,0.84301,0.76814,0.77254,0.64555,0.83639,0.76004,0.761,0.58271,0.07533,0.17219,0.83877,0.85691,0,9.92e-05,9.92e-05,9.92e-05
98,7070.63,0.06024,0.14074,0.71256,1.11069,0,0.85593,0.75044,0.78271,0.64507,0.85079,0.75692,0.7623,0.58603,0.07525,0.17505,0.83353,0.85653,0,7.94e-05,7.94e-05,7.94e-05
99,7126.57,0.06006,0.13741,0.69594,1.09042,0,0.85635,0.74513,0.78029,0.65126,0.83845,0.75322,0.76776,0.59153,0.07392,0.17237,0.8181,0.84877,0,5.96e-05,5.96e-05,5.96e-05
100,7182.97,0.05938,0.14026,0.6936,1.09755,0,0.84952,0.73805,0.77028,0.64569,0.83913,0.74513,0.76094,0.58299,0.07414,0.17437,0.83119,0.85102,0,3.98e-05,3.98e-05,3.98e-05
